Sample_Name,filenames,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well
TCGA-63-A5MN-01A-22D-A27L-05,inst/extdata/sample_IDATS/9283265144_R06C01,,Cancer,,TCGA-LUSC,
TCGA-63-A5MP-01A-11D-A26N-05,inst/extdata/sample_IDATS/9305216074_R05C01,,Cancer,,TCGA-LUSC,
TCGA-63-A5MR-01A-31D-A27L-05,inst/extdata/sample_IDATS/9283265144_R04C02,,Cancer,,TCGA-LUSC,
TCGA-63-A5MS-01A-11D-A26N-05,inst/extdata/sample_IDATS/9305216121_R02C01,,Cancer,,TCGA-LUSC,
TCGA-63-A5MT-01A-21D-A26N-05,inst/extdata/sample_IDATS/9305216126_R03C02,,Cancer,,TCGA-LUSC,
TCGA-63-A5MU-01A-11D-A26N-05,inst/extdata/sample_IDATS/9305216121_R06C01,,Cancer,,TCGA-LUSC,
TCGA-63-A5MV-01A-21D-A26N-05,inst/extdata/sample_IDATS/9305216074_R05C02,,Cancer,,TCGA-LUSC,
TCGA-69-7979-01A-11D-2185-05,inst/extdata/sample_IDATS/7786923075_R01C01,,Cancer,,TCGA-LUAD,
TCGA-85-A4JB-01A-51D-A25R-05,inst/extdata/sample_IDATS/8784241132_R02C01,,Cancer,,TCGA-LUSC,
TCGA-92-8063-01A-11D-2245-05,inst/extdata/sample_IDATS/6264488074_R02C02,,Cancer,,TCGA-LUSC,
TCGA-96-8169-01A-11D-2294-05,inst/extdata/sample_IDATS/6285633054_R05C01,,Cancer,,TCGA-LUSC,
TCGA-96-A4JL-01A-11D-A258-05,inst/extdata/sample_IDATS/8784241020_R05C02,,Cancer,,TCGA-LUSC,
TCGA-97-7553-01A-21D-2037-05,inst/extdata/sample_IDATS/6929742041_R03C02,,Cancer,,TCGA-LUAD,
TCGA-97-8547-01A-11D-2398-05,inst/extdata/sample_IDATS/8784241076_R04C01,,Cancer,,TCGA-LUAD,
TCGA-A1-A0SF-01A-11D-A145-05,inst/extdata/sample_IDATS/6026818102_R01C01,,Cancer,,TCGA-BRCA,
TCGA-A1-A0SI-01A-11D-A145-05,inst/extdata/sample_IDATS/6026818055_R03C02,,Cancer,,TCGA-BRCA,
TCGA-A1-A0SJ-01A-11D-A10P-05,inst/extdata/sample_IDATS/6004791006_R04C02,,Cancer,,TCGA-BRCA,
TCGA-A1-A0SK-01A-12D-A10P-05,inst/extdata/sample_IDATS/6004791010_R02C02,,Cancer,,TCGA-BRCA,
TCGA-A1-A0SM-01A-11D-A10P-05,inst/extdata/sample_IDATS/6004791006_R06C02,,Cancer,,TCGA-BRCA,
TCGA-A1-A0SO-01A-22D-A10P-05,inst/extdata/sample_IDATS/6004791020_R02C02,,Cancer,,TCGA-BRCA,
